symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
币安人生,币安人生,2026-01-11,2026-07-01,51,189,70,65,200,551970515.3882519,662605068.1537826,662605068.1537826,1.0,1000000000.0,1000000000.0,119,True,2026-07-01,0,False
JST,JUST,2025-10-05,2026-07-01,72,165,63,63,165,598374531.2738786,744497268.9996299,744497268.9996299,1.0,,8543764567.312736,102,False,2026-07-01,0,False
STABLE,Stable,2025-12-21,2026-07-01,61,154,58,56,154,716711532.7104087,917916280.0217978,3811707515.6970363,0.24081498284999997,100000000000.0,24081498285.0,96,True,2026-07-01,0,False
LUNC,Terra Classic,2025-10-05,2026-07-01,72,173,98,84,190,324793673.1702682,329849222.04150814,385206455.664913,0.8562920407762856,6455292884188.376,5527615917610.299,75,True,2026-07-01,0,False
KITE,Kite,2025-11-16,2026-07-01,66,197,125,77,197,298697075.9601756,196995692.67749396,1094420514.8749664,0.18000000000000002,10000000000.0,1800000000.0,72,True,2026-07-01,0,False
MORPHO,Morpho,2025-10-05,2026-07-01,72,114,54,53,114,807588173.9321799,979276915.510328,1914144176.1746392,0.5116003944213775,1000000000.0,511600394.4213774,60,True,2026-07-01,0,False
VELVET,Velvet,2026-06-25,2026-07-01,7,128,69,68,128,500887099.77991104,666219535.0152564,1583086800.8976688,0.4208357587451839,1000000000.0,420835758.74518394,59,True,2026-07-01,0,False
B,BUILDon,2025-10-05,2026-07-01,69,176,119,92,196,223770243.63212714,209712124.85091624,209712124.85091624,1.0,,1000000000.0,57,False,2026-07-01,0,False
DEXE,DeXe,2025-10-05,2026-07-01,72,84,34,34,149,1106023208.6873357,1884642691.7773745,1884642691.7773745,1.0,,83733681.59026702,50,False,2026-07-01,0,False
VVV,Venice Token,2026-03-15,2026-07-01,49,119,71,61,119,667662280.0511875,600527517.9474009,600527517.9474009,1.0,,47117363.378998,48,False,2026-07-01,0,False
DASH,Dash,2025-10-05,2026-07-01,72,133,86,64,133,517803645.5094383,413264591.1956018,612447748.2765113,0.6747752642712286,18900000.0,12753252.49472622,47,True,2026-07-01,0,False
AKT,Akash Network,2025-10-05,2026-07-01,66,179,133,115,200,188514558.44747096,178178845.4017313,234419228.11104622,0.7600863070725862,388539008.0,295323179.744366,46,True,2026-07-01,0,False
MX,MX Token,2025-10-05,2026-07-01,72,190,145,139,190,170911419.0385739,151652827.67410585,683296131.8677164,0.2219430501671057,413787834.0,91837334.0,45,True,2026-07-01,0,False
GNO,Gnosis,2025-10-05,2026-07-01,72,146,105,98,146,306553480.5451036,277587658.59738535,277587658.59738535,1.0,,2639510.71230272,41,False,2026-07-01,0,False
GRASS,Grass,2026-03-15,2026-07-01,41,198,158,158,200,105990508.12938167,117981718.86560331,117981718.86560331,1.0,,243905091.0,40,False,2026-07-01,0,False
SAHARA,Sahara AI,2025-10-19,2026-06-08,24,197,158,158,197,132347762.21047048,125177496.1738239,367414915.2019863,0.3406979167,10000000000.0,3406979167.0,39,True,2026-06-08,23,True
SYN,Synapse,2026-06-26,2026-07-01,6,193,157,157,199,93198530.24444725,121099501.14531735,129940208.52264312,0.9319632661988132,250000000.0,232990816.54970327,36,True,2026-07-01,0,False
DCR,Decred,2025-10-05,2026-07-01,72,166,131,79,166,295411660.77290505,187459071.8492784,225058999.17068428,0.8329330199638443,21000000.0,17491593.41924073,35,True,2026-07-01,0,False
ZEC,Zcash,2025-10-05,2026-07-01,72,43,13,11,43,7047552781.584765,6726580441.947394,8433306083.978715,0.7976208114545142,21000000.0,16750037.0405448,30,True,2026-07-01,0,False
NFT,APENFT,2025-10-05,2026-07-01,72,136,107,96,136,306644352.8960057,259421766.7361079,262011622.151222,0.990115494137816,999990000000000.0,990105592982874.8,29,True,2026-07-01,0,False
GLM,Golem,2025-10-05,2026-07-01,72,198,169,132,198,145659685.88114765,105149110.41310501,105149110.41310501,1.0,1000000000.0,1000000000.0,29,True,2026-07-01,0,False
SUN,Sun [New],2025-10-05,2026-07-01,72,127,99,94,127,357322867.1570911,312151987.0972676,323019372.0428011,0.9663568631292693,19900730000.0,19231207016.782543,28,True,2026-07-01,0,False
JTO,Jito,2025-10-05,2026-07-01,72,116,91,88,184,258002983.42003217,381232353.3836517,381232353.3836517,1.0,,489269796.1,25,False,2026-07-01,0,False
