symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
ZEC,Zcash,2024-06-02,2026-07-01,142,161,13,11,169,3891245639.3871794,6726580441.947394,8433306083.978715,0.7976208114545142,21000000.0,16750037.0405448,148,True,2026-07-01,0,False
JST,JUST,2024-06-16,2026-07-01,140,200,63,63,200,467445293.81023824,744497268.9996299,744497268.9996299,1.0,9900000000.0,8543764567.312736,137,True,2026-07-01,0,False
MORPHO,Morpho,2024-12-22,2026-07-01,113,186,54,53,186,688404449.387002,979276915.510328,1914144176.1746392,0.5116003944213775,1000000000.0,511600394.4213774,132,True,2026-07-01,0,False
币安人生,币安人生,2026-01-11,2026-07-01,51,189,70,65,200,551970515.3882519,662605068.1537826,662605068.1537826,1.0,1000000000.0,1000000000.0,119,True,2026-07-01,0,False
DASH,Dash,2024-06-02,2026-07-01,142,196,86,64,196,419108156.4893952,413264591.1956018,612447748.2765113,0.6747752642712286,18900000.0,12753252.49472622,110,True,2026-07-01,0,False
BNX,BinaryX,2024-06-02,2025-03-16,28,193,96,96,200,409341647.6474538,540573189.5117275,827905137.0,0.6529409775986539,580000000.0,378705768.3311498,97,True,2025-03-16,472,True
STABLE,Stable,2025-12-21,2026-07-01,61,154,58,56,154,716711532.7104087,917916280.0217978,3811707515.6970363,0.24081498284999997,100000000000.0,24081498285.0,96,True,2026-07-01,0,False
ZKJ,Polyhedra Network,2025-02-09,2025-06-08,18,195,105,105,198,340725953.74060774,587807484.8891348,2007120310.0,0.2928611114941758,1000000000.0,292861111.0,90,True,2025-06-08,388,True
DEXE,DeXe,2024-06-02,2026-07-01,142,109,34,34,173,967690818.8852344,1884642691.7773745,1884642691.7773745,1.0,98942301.0,83733681.59026702,75,True,2026-07-01,0,False
JTO,Jito,2024-06-02,2026-07-01,142,164,91,79,189,401125315.2685146,381232353.3836517,381232353.3836517,1.0,1000000000.0,489269796.1,73,True,2026-07-01,0,False
KITE,Kite,2025-11-16,2026-07-01,66,197,125,77,197,298697075.9601756,196995692.67749396,1094420514.8749664,0.18000000000000002,10000000000.0,1800000000.0,72,True,2026-07-01,0,False
DCR,Decred,2024-06-09,2026-07-01,112,196,131,79,200,277277668.0348731,187459071.8492784,225058999.17068428,0.8329330199638443,21000000.0,17491593.41924073,65,True,2026-07-01,0,False
XDC,XDC Network,2024-06-02,2026-07-01,142,135,72,56,146,834098900.2014887,582038321.0654476,582038321.0654476,1.0,,21010163463.95,63,False,2026-07-01,0,False
SUN,Sun (New),2024-08-25,2026-07-01,103,147,99,94,193,357246315.09419775,312151987.0972676,323019372.0428011,0.9663568631292693,19900730000.0,19231207016.782543,48,True,2026-07-01,0,False
VVV,Venice Token,2026-03-15,2026-07-01,49,119,71,61,119,667662280.0511875,600527517.9474009,600527517.9474009,1.0,,47117363.378998,48,False,2026-07-01,0,False
NFT,APENFT,2024-06-02,2026-07-01,142,152,107,96,157,377505226.2067771,259421766.7361079,262011622.151222,0.990115494137816,999990000000000.0,990105592982874.8,45,True,2026-07-01,0,False
XCN,Onyxcoin,2025-01-19,2026-07-01,109,188,144,85,188,302838190.6220505,152036637.31510273,270064958.9971349,0.5629632140344266,68892071756.90897,38783702137.75981,44,True,2026-07-01,0,False
WLD,Worldcoin,2024-06-02,2026-07-01,142,83,41,35,118,1449927495.6851325,1418099953.9815712,1418099953.9815712,1.0,,3505375589.2277393,42,False,2026-07-01,0,False
TRAC,OriginTrail,2024-06-02,2026-07-01,125,197,155,129,200,223382272.7099693,126302738.93717523,126302738.93717523,1.0,500000000.0,500000000.0,42,True,2026-07-01,0,False
ZBCN,Zebec Network,2025-05-25,2026-07-01,91,159,118,99,174,288729607.1713897,214883545.31138697,214886176.60946697,0.9999877549215984,100000000000.0,99998775492.15985,41,True,2026-07-01,0,False
GT,GateToken,2024-06-02,2026-07-01,142,107,67,32,108,1160030739.2338893,686733830.365397,919301871.7782259,0.7470166780331172,142622843.67,106541642.89,40,True,2026-07-01,0,False
SPX,SPX6900,2024-12-15,2026-07-01,114,136,97,55,136,604938668.9685291,333066235.0455754,357753713.31760645,0.9309930900700001,1000000000.0,930993090.07,39,True,2026-07-01,0,False
SYRUP,Maple Finance,2025-05-11,2026-07-01,93,171,134,90,171,313809167.9079106,170282232.3990726,170282232.3990726,1.0,,1191009306.8510675,37,False,2026-07-01,0,False
ETHFI,ether.fi,2024-06-02,2026-07-01,130,137,102,85,194,384174712.34198123,295319559.85605776,318449743.294001,0.927366299,1000000000.0,927366299.0,35,True,2026-07-01,0,False
MASK,Mask Network,2024-06-02,2025-06-01,32,200,166,166,200,242783596.3874405,270709903.181224,270709903.0,1.0,100000000.0,100000000.0,34,True,2025-06-01,395,True
CFG,Centrifuge,2024-06-02,2026-07-01,57,199,166,150,200,151325441.0443295,109815989.45349458,109815989.45349458,1.0,,577158888.0,33,False,2026-07-01,0,False
CAKE,PancakeSwap,2024-06-02,2026-07-01,142,116,85,68,135,604790069.0984358,425389624.4300516,526073340.9121646,0.8086127757252699,400000000.0,323445110.29010797,31,True,2026-07-01,0,False
KCS,KuCoin Token,2024-06-02,2026-07-01,142,88,57,47,88,1217138705.393932,920569783.7518126,1342378536.4250343,0.6857751064788589,200000000.0,137155021.29577178,31,True,2026-07-01,0,False
BAT,Basic Attention Token,2024-06-02,2026-07-01,140,188,159,109,200,223252747.09056377,117352083.47800191,117687519.82443288,0.9971497713017372,1500000000.0,1495724656.9526057,29,True,2026-07-01,0,False
CRV,Curve DAO Token,2024-06-02,2026-07-01,142,132,104,68,167,563551884.206783,285935895.8419863,569799782.2421502,0.5018181907982389,3030303030.299,1520661184.2350647,28,True,2026-07-01,0,False
XMR,Monero,2024-06-02,2026-07-01,142,41,14,12,51,5416994352.5200815,5824056923.334844,5824056923.334844,1.0,,18772049.34108264,27,False,2026-07-01,0,False
EOS,EOS,2024-06-02,2025-05-25,52,92,67,56,100,981081390.2203814,1200844707.4039075,1608805821.0,0.7464199170148996,2100000000.0,1567481832.3398,25,True,2025-05-25,402,True
STG,Stargate Finance,2026-02-08,2026-06-30,53,192,168,85,197,150768653.41292197,109917430.27726077,166301841.7088067,0.660951371,1000000000.0,660951371.0,24,True,2026-06-30,1,False
M,MemeCore,2025-07-13,2026-07-01,84,76,52,19,128,2724312397.9848356,1024741657.9126644,7769753692.8705845,0.1318885640934735,10000000000.0,1318885640.9347348,24,True,2026-07-01,0,False
PIEVERSE,Pieverse,2026-05-10,2026-07-01,41,154,130,116,154,185526715.4871116,187972443.50421977,707721657.9899813,0.26560222,1000000000.0,265602220.0,24,True,2026-07-01,0,False
XLM,Stellar,2024-06-02,2026-07-01,142,36,12,12,38,7407022820.070709,6738921963.134929,9916949445.569265,0.6795357786305719,50001806812.0,33978016724.927856,24,True,2026-07-01,0,False
NEXO,Nexo,2024-06-02,2026-07-01,142,105,82,73,121,653423928.3830577,461043631.63282365,713528747.5290382,0.6461458395746847,1000000000.0,646145839.5746847,23,True,2026-07-01,0,False
SAHARA,Sahara AI,2025-06-29,2026-06-08,25,181,158,158,197,135223140.94998062,125177496.1738239,367414915.2019863,0.3406979167,10000000000.0,3406979167.0,23,True,2026-06-08,23,True
MON,Monad,2025-11-30,2026-07-01,64,137,115,90,153,261725857.36880845,221720753.88171616,2140614478.341572,0.10357808756553537,114166666695.0,11825165000.0,22,True,2026-07-01,0,False
CVX,Convex Finance,2024-06-16,2026-07-01,128,191,170,119,198,226070238.05265436,104772079.41771074,104772079.41771074,1.0,,98492858.94521785,21,False,2026-07-01,0,False
BEAT,Audiera,2025-12-21,2026-07-01,50,77,56,34,196,640247414.2831886,926122362.1964449,2994575439.29563,0.309266666,1000000000.0,309266666.0,21,True,2026-07-01,0,False
QNT,Quant,2024-06-02,2026-07-01,142,81,60,56,93,981783777.1763935,787987336.4344474,971306291.9837632,0.8112655533457821,14881364.0,12072738.0,21,True,2026-07-01,0,False
LUNC,Terra Classic,2024-06-02,2026-07-01,142,118,98,84,190,379588228.39114195,329849222.04150814,385206455.664913,0.8562920407762856,6455292884188.376,5527615917610.299,20,True,2026-07-01,0,False
