symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
MORPHO,Morpho,2024-12-22,2026-06-02,84,186,58,53,186,605082433.9056089,995127168.8474748,2019058526.6080024,0.49286692571476776,1000000000.0,492866925.7147678,128,True,2026-06-02,0,False
KITE,Kite,2025-11-16,2026-06-02,37,197,97,77,197,294717934.52285385,372447305.7068384,2069151698.3713245,0.18,10000000000.0,1800000000.0,100,True,2026-06-02,0,False
STABLE,Stable,2025-12-21,2026-06-02,32,154,62,61,154,610732056.2106197,897177351.575808,3863337822.6743813,0.23222855281000002,100000000000.0,23222855281.0,92,True,2026-06-02,0,False
ZKJ,Polyhedra Network,2025-02-09,2025-06-08,18,195,105,105,198,340725953.74060774,587807484.8891348,2007120310.0,0.2928611114941758,1000000000.0,292861111.0,90,True,2025-06-08,359,True
H,Humanity Protocol,2025-10-26,2026-06-02,39,91,35,35,185,535594294.33348924,2253886965.0389156,7958238969.01298,0.2832142857,10000000000.0,2832142857.0,56,True,2026-06-02,0,False
M,MemeCore,2025-07-13,2026-06-02,55,76,23,19,128,2460849588.7303743,4375747039.690094,33449942564.761276,0.13081478484509687,10000000000.0,1308147848.4509687,53,True,2026-06-02,0,False
HOME,Defi App,2026-02-01,2026-06-02,11,200,150,150,200,111268245.4015603,171018521.69655517,445941386.43053246,0.38350000000100004,10000000000.0,3835000000.01,50,True,2026-06-02,0,False
PIEVERSE,Pieverse,2026-05-10,2026-06-02,12,154,128,128,154,193674554.391655,246094361.53880736,944329490.1279328,0.26060222,1000000000.0,260602220.0,26,True,2026-06-02,0,False
CRV,Curve DAO Token,2024-06-02,2026-06-02,113,132,106,68,167,626721575.6235151,320155267.48863363,641598122.2058614,0.4989965780883465,3030303030.299,1512110842.6899478,26,True,2026-06-02,0,False
SUI,Sui,2024-06-02,2026-06-02,113,46,27,11,50,7206705504.594973,3448935628.740251,8559858837.9699545,0.4029196852454399,10000000000.0,4029196852.454399,19,True,2026-06-02,0,False
FF,Falcon Finance,2025-10-05,2026-06-02,43,140,125,121,171,228278360.59920657,262505907.88674614,1121820119.1741288,0.234,10000000000.0,2340000000.0,15,True,2026-06-02,0,False
