symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
MOVE,Movement,2024-12-15,2025-12-14,52,81,196,56,199,710274202.6968004,120735583.59072112,431198500.0,0.28000000832730426,10000000000.0,2800000000.0,-115,True,2025-12-14,177,True
TRUMP,OFFICIAL TRUMP,2025-01-19,2026-06-09,87,18,89,18,90,1515652556.8468568,398526530.03277284,1678618829.8964243,0.23741335610858308,999999102.746094,237413143.088522,-71,True,2026-06-09,0,False
IO,io.net,2024-06-16,2025-02-02,28,129,199,129,199,315495031.40693885,227763175.3392401,1349001408.0,0.16883835256845048,800000000.0,135070682.0,-70,True,2025-02-02,492,True
LINEA,Linea,2025-09-14,2025-12-07,13,133,200,124,200,280181881.7640091,120565752.19383305,560770596.126,0.21500013200895973,72009990000.0,15482147850.0,-67,True,2025-12-07,184,True
PRIME,Echelon Prime,2024-06-02,2025-02-16,38,128,193,128,200,344385453.74994516,232563087.72810113,722325100.2230452,0.32196456644838795,111111112.0,35773841.0,-65,True,2025-02-16,478,True
RIVER,River,2026-02-01,2026-06-09,33,116,180,74,190,176221921.85538465,100497236.93591489,512741004.77507603,0.19599999999999998,100000000.0,19600000.0,-64,True,2026-06-09,0,False
ARKM,Arkham,2024-06-02,2025-01-05,31,139,197,133,198,355376904.3063176,380620246.31098294,1690894030.0,0.22510000009343162,1000000000.0,225100000.0,-58,True,2025-01-05,520,True
2Z,DoubleZero,2025-10-05,2026-06-09,50,61,116,61,122,398240128.6094737,246835524.9795238,711051105.145157,0.34714175,10000000000.0,3471417500.0,-55,True,2026-06-09,0,False
EDGE,edgeX,2026-04-05,2026-06-09,24,100,151,83,151,353876457.49818057,146985595.5684398,419958844.4812566,0.35,1000000000.0,350000000.0,-51,True,2026-06-09,0,False
APT,Aptos,2024-06-02,2026-06-09,120,26,76,20,76,2671185577.695288,546017089.9393637,1397926785.6628652,0.3905906200090835,2100000000.0,820240302.0190754,-50,True,2026-06-09,0,False
BLAST,Blast,2024-06-30,2024-09-01,10,151,200,151,200,251339748.29119605,176441534.34953287,901765000.0,0.19566243350488527,100000000000.0,19566247240.550484,-49,True,2024-09-01,646,True
RAVE,RaveDAO,2026-02-22,2026-06-09,25,151,195,44,198,181850393.6547328,87410898.2201826,346208436.60686105,0.252480555,1000000000.0,252480555.0,-44,True,2026-06-09,0,False
VANA,Vana,2024-12-22,2025-06-01,12,153,194,142,200,309408287.46214366,204428332.98533404,815430127.2,0.25070000011808985,120000000.0,30084000.0,-41,True,2025-06-01,373,True
PI,Pi,2025-03-09,2026-06-09,80,11,46,11,52,2715963014.831603,1381863630.3672113,12924304076.462406,0.1069197708589854,100000000000.0,10691977085.898539,-35,True,2026-06-09,0,False
KAITO,KAITO,2025-02-23,2026-06-09,73,145,179,116,196,220358925.98787773,100698766.69192861,417164050.5455436,0.241388889,1000000000.0,241388889.0,-34,True,2026-06-09,0,False
NXPC,NEXPACE,2025-05-18,2026-06-09,24,146,177,146,200,149775972.7095611,101159088.87625696,357266306.78888655,0.2831475763429134,1000000000.0,283147576.3429133,-31,True,2026-06-09,0,False
ALT,Altlayer,2024-06-02,2024-12-15,18,172,198,172,200,271433504.79762924,394308013.0305084,1713225000.0,0.23015541626494385,10000000000.0,2301554196.406704,-26,True,2024-12-15,541,True
GENIUS,Genius Terminal,2026-05-03,2026-06-09,20,136,153,127,164,178862981.59190458,141553891.00643358,422073863.45538193,0.33537705900000003,1000000000.0,335377059.0,-17,True,2026-06-09,0,False
WLFI,World Liberty Financial,2025-09-07,2026-06-09,54,26,39,25,41,3008017305.1929107,1766639277.3375113,5560075185.031147,0.31773658063000004,100000000000.0,31773658063.0,-13,True,2026-06-09,0,False
MYX,MYX Finance,2025-08-10,2026-06-09,34,181,194,36,199,805290163.0433061,87814907.05952851,266004140.8818275,0.33012609039999996,1000000000.0,330126090.4,-13,True,2026-06-09,0,False
ZETA,ZetaChain,2024-06-02,2025-05-18,38,187,199,151,200,285840293.7984395,216579690.50065935,548688861.0,0.3947222294725231,2100000000.0,828916667.0,-12,True,2025-05-18,387,True
PUMP,Pump.fun,2025-07-20,2026-06-09,61,64,75,44,87,942600005.2269744,554643017.8517017,1586268498.715846,0.3496526712222487,1000000000000.0,349652671222.2487,-11,True,2026-06-09,0,False
LIT,Lighter,2026-01-04,2026-06-09,37,78,88,78,133,339220896.08170354,400098732.34318095,1600394929.3727238,0.25,1000000000.0,250000000.0,-10,True,2026-06-09,0,False
BARD,Lombard,2025-09-21,2026-04-19,26,190,200,122,200,171759314.9944599,92216246.08662795,295387370.0,0.31218750512802207,1000000000.0,312187500.0,-10,True,2026-04-19,51,True
ZRO,LayerZero,2024-06-23,2026-06-09,117,95,103,69,181,420623178.8681902,294909410.8103497,859235888.8309145,0.34322287353663333,1000000000.0,343222873.5366333,-8,True,2026-06-09,0,False
PLUME,Plume,2025-06-08,2025-11-02,17,173,179,154,197,243151482.95098475,204566548.8308591,652355600.0,0.31358134862467507,10000000000.0,3135813492.0,-6,True,2025-11-02,219,True
