symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale,dilution_multiple
PI,Pi,2025-03-09,2026-05-25,65,11,45,11,52,3005772329.2808256,1579492646.1579583,14912070639.080235,0.10592041067848511,100000000000.0,10592041067.84851,-34,True,2026-05-25,0,False,9.441051007963313
MEGA,MegaETH,2026-05-03,2026-05-17,3,167,195,167,195,128676842.867507,101709200.07632838,900246500.0,0.1129792785379653,10000000000.0,1129792788.0,-28,True,2026-05-17,8,False,8.851180614186363
USUAL,Usual,2024-12-22,2025-01-05,3,151,166,151,166,507286519.7798374,497992481.9326427,3970118680.0,0.12543516254094517,4000000000.0,501740652.0646922,-15,True,2025-01-05,505,True,7.97224621663463
ME,Magic Eden,2024-12-15,2025-01-12,5,168,189,167,189,428960101.0667514,350612886.4811942,2701209370.0,0.12979848595786345,1000000000.0,129798486.192614,-21,True,2025-01-12,498,True,7.704250112167183
M,MemeCore,2025-07-13,2026-05-25,47,76,27,19,128,2213689869.398005,3830227555.2449512,29346227607.820984,0.1305185663531134,10000000000.0,1305185663.531134,49,True,2026-05-25,0,False,7.661745205617223
PIXEL,Pixels,2024-06-02,2024-06-09,2,173,192,173,192,358438735.98880327,319117973.21195227,2069395100.0,0.15420833518546181,5000000000.0,771041667.0,-19,True,2024-06-09,715,True,6.484733777829386
SOMI,Somnia,2025-09-07,2025-09-07,1,171,171,171,171,265616579.58371943,265616579.58371943,1658031080.0,0.16020000034240578,1000000000.0,160200000.0,0,True,2025-09-07,260,True,6.242197240091358
SIGN,Sign,2026-03-08,2026-03-22,2,191,197,191,197,88319124.4545172,86702510.13456072,528673800.0,0.16400001311689877,10000000000.0,1640000000.0,-6,True,2026-03-22,64,True,6.097560487920221
IO,io.net,2024-06-16,2025-02-02,28,129,199,129,199,315495031.40693885,227763175.3392401,1349001408.0,0.16883835256845048,800000000.0,135070682.0,-70,True,2025-02-02,477,True,5.922824907892772
GWEI,ETHGas,2026-05-10,2026-05-25,4,142,138,131,142,219315464.12939692,206807758.7526274,1181758621.4435852,0.175,10000000000.0,1750000000.0,4,True,2026-05-25,0,False,5.714285714285714
KITE,Kite,2025-11-16,2026-05-25,29,197,102,77,197,275374440.01720035,362909726.72072846,2016165148.4484913,0.18000000000000002,10000000000.0,1800000000.0,95,True,2026-05-25,0,False,5.5555555555555545
SCR,Scroll,2024-10-20,2024-10-20,1,193,193,193,193,256791884.46000606,256791884.46000606,1351536230.0,0.19000000056232755,1000000000.0,190000000.0,0,True,2024-10-20,582,True,5.263157879159902
MIRA,Mira,2025-09-28,2025-09-28,1,199,199,199,199,215301512.1336031,215301512.1336031,1125791070.0,0.19124464376289918,1000000000.0,191244643.0,0,True,2025-09-28,239,True,5.228904613086982
LA,Lagrange,2025-06-08,2025-06-08,1,185,185,185,185,222083979.43025634,222083979.43025634,1150694190.0,0.19300000066069364,1000000000.0,193000000.0,0,True,2025-06-08,351,True,5.181347132521849
PROVE,Succinct,2025-08-10,2025-08-17,2,178,182,178,182,267198292.28315002,259037458.1677742,1328397220.0,0.1950000002015769,1000000000.0,195000000.0,-4,True,2025-08-17,281,True,5.12820512290396
BLAST,Blast,2024-06-30,2024-09-01,10,151,200,151,200,251339748.29119605,176441534.34953287,901765000.0,0.19566243350488527,100000000000.0,19566247240.550484,-49,True,2024-09-01,631,True,5.110843109160411
RIVER,River,2026-02-01,2026-05-25,18,116,180,74,190,226455832.73184416,126558324.81176624,645705738.8355421,0.19599999999999998,100000000.0,19600000.0,-64,True,2026-05-25,0,False,5.102040816326531
CHIP,USD.AI,2026-04-26,2026-05-25,6,161,200,161,200,115870408.21834254,98977270.04936562,494886350.24682814,0.19999999999999998,10000000000.0,2000000000.0,-39,True,2026-05-25,0,False,5.0
LINEA,Linea,2025-09-14,2025-12-07,13,133,200,124,200,280181881.7640091,120565752.19383305,560770596.126,0.21500013200895973,72009990000.0,15482147850.0,-67,True,2025-12-07,169,True,4.651159934907978
MX,MX TOKEN,2024-06-02,2026-05-25,97,165,158,133,197,260566463.69724676,162871675.6425468,733844450.2763985,0.22194305016710567,413787834.0,91837334.0,7,True,2026-05-25,0,False,4.505660345061846
ROBO,Fabric Protocol,2026-03-08,2026-03-08,1,187,187,187,187,93103616.61150283,93103616.61150283,417317900.0,0.22309998351736848,10000000000.0,2231000000.0,0,True,2026-03-08,78,True,4.4822952661587685
ARKM,Arkham,2024-06-02,2025-01-05,31,139,197,133,198,355376904.3063176,380620246.31098294,1690894030.0,0.22510000009343162,1000000000.0,225100000.0,-58,True,2025-01-05,505,True,4.442470011483486
STABLE,Stable,2025-12-21,2026-05-25,24,154,64,64,154,523471866.5548479,898993602.7000954,3911184028.350034,0.2298520336,100000000000.0,22985203360.0,90,True,2026-05-25,0,False,4.350624983985349
ALT,Altlayer,2024-06-02,2024-12-15,18,172,198,172,200,271433504.79762924,394308013.0305084,1713225000.0,0.23015541626494385,10000000000.0,2301554196.406704,-26,True,2024-12-15,526,True,4.34489014522625
FF,Falcon Finance,2025-10-05,2026-05-25,35,140,139,124,171,225570057.49075678,204475596.8076077,873827336.7846483,0.234,10000000000.0,2340000000.0,1,True,2026-05-25,0,False,4.273504273504273
TRUMP,OFFICIAL TRUMP,2025-01-19,2026-05-25,72,18,84,18,84,1739338056.414239,494862108.353338,2084392142.659546,0.23741315188509915,999999993.45,237413150.330043,-66,True,2026-05-25,0,False,4.212066568595029
KAITO,KAITO,2025-02-23,2026-05-25,58,145,184,116,196,248622733.72689095,122171280.99252626,506118079.82813275,0.24138888899999997,1000000000.0,241388889.0,-39,True,2026-05-25,0,False,4.142692748380809
XAN,Anoma,2025-10-05,2025-10-05,1,174,174,174,174,296552044.47630465,296552044.47630465,1186208200.0,0.24999999534340148,10000000000.0,2500000000.0,0,True,2025-10-05,232,True,4.000000074505578
LIT,Lighter,2026-01-04,2026-05-25,22,78,111,78,133,333758375.6372421,323749424.43927294,1294997697.7570918,0.25,1000000000.0,250000000.0,-33,True,2026-05-25,0,False,4.0
VANA,Vana,2024-12-22,2025-06-01,12,153,194,142,200,309408287.46214366,204428332.98533404,815430127.2,0.25070000011808985,120000000.0,30084000.0,-41,True,2025-06-01,358,True,3.9888312705582747
RAVE,RaveDAO,2026-02-22,2026-05-25,10,151,166,44,198,296745563.466942,146406843.5392767,579873739.3431215,0.25248055500000005,1000000000.0,252480555.0,-15,True,2026-05-25,0,False,3.960701052799887
AVNT,Avantis,2025-09-21,2025-10-26,4,111,187,111,187,370416830.4248847,205269640.29815808,794984300.0,0.2582059045671192,1000000000.0,258205903.14667922,-76,True,2025-10-26,211,True,3.8728781267666768
PIEVERSE,Pieverse,2026-05-10,2026-05-25,4,154,147,132,154,198542823.7012586,188848009.02551064,724660016.4246899,0.26060222,1000000000.0,260602220.0,7,True,2026-05-25,0,False,3.8372658529156047
HYPE,Hyperliquid,2024-12-22,2026-05-25,76,22,10,10,28,10462076768.066055,15803456876.359575,59816495216.0546,0.264198977544207,961671487.86,254072623.8260283,12,True,2026-05-25,0,False,3.785026003110384
SPK,Spark,2026-04-26,2026-04-26,1,194,194,194,194,100234281.94578283,100234281.94578283,377611600.0,0.26544280404993603,10000000000.0,2654427841.123425,0,True,2026-04-26,29,True,3.7672899198724425
BEAT,Audiera,2025-12-21,2026-05-25,13,77,115,77,196,212501907.37308928,305075586.8123021,1143604601.6795146,0.266766666,1000000000.0,266766666.0,-38,True,2026-05-25,0,False,3.7485942865140434
NXPC,NEXPACE,2025-05-18,2026-05-25,9,146,199,146,200,217613084.061422,99277266.72401613,355254529.49541366,0.27945390834291334,1000000000.0,279453908.3429133,-53,True,2026-05-25,0,False,3.5784076377021585
RED,RedStone,2025-03-16,2025-03-16,1,173,173,173,173,217794672.1893094,217794672.1893094,777838110.0,0.2800000017861164,1000000000.0,280000000.0,0,True,2025-03-16,435,True,3.5714285486464745
MOVE,Movement,2024-12-15,2025-12-14,52,81,196,56,199,710274202.6968004,120735583.59072112,431198500.0,0.28000000832730426,10000000000.0,2800000000.0,-115,True,2025-12-14,162,True,3.571428465212959
MYX,MYX Finance,2025-08-10,2026-03-22,30,181,194,36,194,899975022.5127103,88152520.6233141,312773470.0,0.2818414254358405,1000000000.0,281841423.7,-13,True,2026-03-22,64,True,3.548094459335056
H,Humanity Protocol,2025-10-26,2026-05-25,31,91,73,71,185,388990578.4482886,672342183.7726809,2373969879.7710786,0.2832142857,10000000000.0,2832142857.0,18,True,2026-05-25,0,False,3.5308953343521257
ZKJ,Polyhedra Network,2025-02-09,2025-06-08,18,195,105,105,198,340725953.74060774,587807484.8891348,2007120310.0,0.2928611114941758,1000000000.0,292861111.0,90,True,2025-06-08,351,True,3.414587873746724
