symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale
SIREN,siren,2026-03-29,2026-06-14,30,49,197,49,197,480566849.5333417,82716258.12014359,82716258.12014359,1.0,,725199841.3483739,-148,False,2026-06-14,89,True
NOT,Notcoin,2024-06-02,2025-08-10,63,49,197,49,199,687778395.5659344,226210066.37936857,233088553.81927368,0.9704898103008595,102456957533.56,99433648841.2978,-148,True,2025-08-10,397,True
PNUT,Peanut the Squirrel,2024-11-17,2025-09-21,34,57,195,57,198,467959947.4387217,232737199.83807617,232737199.83807617,1.0,1000000000.0,999851834.642323,-138,True,2025-09-21,355,True
CORE,Core,2024-06-02,2026-03-08,84,62,199,62,200,696897897.9174125,84772087.13289858,165660705.0,0.5117211539869916,2100000000.0,1074614436.9501083,-137,True,2026-03-08,187,True
S,Sonic (prev. FTM),2025-01-19,2026-09-07,111,67,200,43,200,520079966.53935593,86135821.75143884,86135821.75143884,1.0,,2880000000.0,-133,False,2026-09-07,4,False
BEAM,Beam,2024-06-02,2026-08-30,139,68,199,68,200,396878205.4561162,81987287.16741957,93446287.8041047,0.8773733991369769,58470184687.0,51300184687.0,-131,True,2026-08-30,12,False
BRETT,Brett (Based),2024-06-16,2026-01-25,85,61,191,56,199,696082314.5639846,125198096.09481502,126332100.0,0.9910236281579663,10000000000.0,9910236395.0,-130,True,2026-01-25,229,True
GALA,Gala,2024-06-02,2026-09-11,212,71,200,65,200,388130172.5531038,84450314.60763374,84513560.38790391,0.9992516493213647,50000000000.0,49962582466.06824,-129,True,2026-09-11,0,False
BEAT,Audiera,2025-12-21,2026-08-19,99,77,196,34,196,696286362.7608889,71453167.54516876,216186277.1094537,0.330516666,1000000000.0,330516666.0,-119,True,2026-08-19,23,True
W,Wormhole,2024-06-02,2026-03-29,96,76,195,73,195,458427927.97757703,82110017.03285095,146409800.0,0.5608232306365486,10000000000.0,5608231151.0,-119,True,2026-03-29,166,True
MOVE,Movement,2024-12-15,2025-12-14,52,81,196,56,199,710274202.6968004,120735583.59072112,431198500.0,0.28000000832730426,10000000000.0,2800000000.0,-115,True,2025-12-14,271,True
AI16Z,ai16z,2025-01-12,2025-07-13,21,86,200,86,200,399979992.79444385,203566117.83966526,203566399.22931507,0.9999986177009031,1099999958.01,1099998438.4535818,-114,True,2025-07-13,425,True
FLOW,Flow,2024-06-02,2026-02-01,88,72,184,68,193,727680208.3120598,117456216.28140908,117456216.28140908,1.0,,1629605139.0104125,-112,False,2026-02-01,222,True
RON,Ronin,2024-06-02,2025-12-14,80,86,197,85,198,500590775.6087154,119975466.34776929,166381450.0,0.721086793917046,1000000000.0,721086808.9637812,-111,True,2025-12-14,271,True
ORDI,ORDI,2024-06-02,2026-09-10,101,89,199,70,200,324094890.3493967,85386317.38889341,85386317.38889341,1.0,21000000.0,21000000.0,-110,True,2026-09-10,1,False
AB,AB,2025-04-13,2026-09-11,169,82,191,72,191,226383060.0986939,88148021.57254754,88148021.57254754,1.0,98823661261.46,98823661261.46,-109,True,2026-09-11,0,False
POPCAT,Popcat (SOL),2024-07-28,2025-10-05,62,87,194,53,199,584282948.2352277,228982739.77556652,228982747.74926075,0.9999999651777511,979973220.96,979973184.6,-107,True,2025-10-05,341,True
0G,0G,2025-09-28,2026-05-26,37,92,199,92,199,210699258.98057175,100569303.0363631,100569303.0363631,1.0,,213243998.0,-107,False,2026-05-26,108,True
WAL,Walrus,2025-04-13,2026-07-22,101,92,198,79,200,272448105.93693376,74809120.30603537,152257368.30912796,0.49133333340000007,5000000000.0,2456666667.0,-106,True,2026-07-22,51,True
BOME,BOOK OF MEME,2024-06-02,2026-08-24,38,95,199,95,199,505106315.27555466,80502635.63394025,80502635.63394025,1.0,68966327627.43,68866822156.1947,-104,True,2026-08-24,18,True
SNX,Synthetix,2024-06-02,2026-08-26,173,97,200,97,200,242783544.48052135,80012704.86888495,78938243.0872711,1.0,339889850.089,344516234.45728827,-103,True,2026-08-26,16,True
FORM,Four,2025-03-23,2026-09-11,146,78,180,62,200,283460897.7873605,96929081.95563608,147220969.530327,0.6583918192147827,580000000.0,381867255.144574,-102,True,2026-09-11,0,False
SAFE,Safe,2024-06-02,2026-08-09,102,98,200,94,200,298946007.27437997,71800285.60609964,93557030.0,0.7674493900255238,1000000000.0,767449429.0,-102,True,2026-08-09,33,True
DYDX,dYdX (Native),2024-06-02,2026-09-11,206,79,181,76,198,305332595.544761,96830597.06838548,114444225.22652641,0.8460942164335754,1000000000.0,846094216.4335754,-102,True,2026-09-11,0,False
MATIC,Polygon,2024-06-02,2025-03-16,42,18,119,18,119,2355423045.6198087,401190821.10554415,401190821.10554415,1.0,10000000000.0,1913783718.0,-101,True,2025-03-16,544,True
AR,Arweave,2024-06-02,2026-09-11,214,39,138,39,179,417528129.6900341,178634237.11475587,179579844.7170878,0.9947343333333334,66000000.0,65652466.0,-99,True,2026-09-11,0,False
WIF,dogwifhat,2024-06-02,2026-09-11,214,34,133,33,150,627857815.2193083,192636503.71235758,192636878.8633891,0.9999980525482258,998840592.989347,998838647.795462,-99,True,2026-09-11,0,False
GRT,The Graph,2024-06-02,2026-09-11,214,42,132,42,141,636609816.1075753,194758334.8145697,194758334.8145697,1.0,,10941320353.043917,-90,False,2026-09-11,0,False
BERA,Berachain,2025-02-09,2026-06-02,60,111,200,77,200,295135777.08654493,94685263.80289775,94685263.80289775,1.0,,275607900.1849982,-89,False,2026-06-02,101,True
A,Vaulta,2025-06-01,2026-09-11,162,73,161,73,178,220382481.7392626,130528865.93450427,164508666.23257205,0.7934467461426666,2100000000.0,1666238166.8996,-88,True,2026-09-11,0,False
AIOZ,AIOZ Network,2024-06-02,2026-09-11,85,104,192,85,200,500176204.2004849,87453459.12917437,87453459.12917437,1.0,,1277475055.1841152,-88,False,2026-09-11,0,False
2Z,DoubleZero,2025-10-05,2026-09-11,144,61,145,61,145,276503242.7550276,161470435.3281813,465142655.20693284,0.34714175,10000000000.0,3471417500.0,-84,True,2026-09-11,0,False
LPT,Livepeer,2024-06-02,2026-07-18,151,114,198,108,200,238488345.1209012,73685697.33864571,73685697.33864571,1.0,,49688954.55058027,-84,False,2026-07-18,55,True
RIVER,River,2026-02-01,2026-07-06,52,116,200,74,200,144905031.61188442,77780429.0002102,396838923.4704602,0.196,100000000.0,19600000.0,-84,True,2026-07-06,67,True
AEVO,Aevo,2024-06-02,2024-12-15,29,96,180,96,182,393979323.3726734,459385099.30484116,510217600.00000006,0.9003709384091045,1000000000.0,900370944.7826796,-84,True,2024-12-15,635,True
IMX,Immutable,2024-06-02,2026-09-11,214,33,116,33,119,785483752.9357084,239483655.01314035,239483655.01314038,0.9999999999999999,2000000000.0,2000000000.0,-83,True,2026-09-11,0,False
SAND,The Sandbox,2024-06-02,2026-09-11,214,87,170,61,171,403145942.58120364,103993584.90591379,103993584.90591379,1.0,3000000000.0,2937639702.3733225,-83,True,2026-09-11,0,False
SOON,SOON,2025-11-09,2026-09-11,104,88,171,88,199,113648931.50732026,103060779.50424173,103060779.50424173,1.0,,581001170.64,-83,False,2026-09-11,0,False
CKB,Nervos Network,2024-06-02,2026-01-04,68,117,199,78,199,403774615.07830554,134200771.18637726,134200771.18637726,1.0,,47969756700.59371,-82,False,2026-01-04,250,True
OM,MANTRA,2024-06-02,2025-09-14,68,115,197,20,197,1969588639.004057,231336040.74272656,231336040.74272656,1.0,,1063195994.722045,-82,False,2025-09-14,362,True
RUNE,THORChain,2024-06-02,2026-09-11,214,57,139,46,171,442740946.5522496,173895895.17815813,187402569.485858,0.9279269524171646,354196525.0,328668502.0,-82,True,2026-09-11,0,False
KAVA,Kava,2024-06-02,2025-11-09,73,112,193,99,193,450402240.1149732,170512738.12521222,170512738.12521222,1.0,1082860679.0,1082847745.0,-81,True,2025-11-09,306,True
CHZ,Chiliz,2024-06-02,2026-09-11,214,73,154,73,158,343837391.43508905,144711678.81715605,144711678.81715605,1.0,8888888888.0,10530395858.0,-81,True,2026-09-11,0,False
THETA,Theta Network,2024-06-02,2026-09-11,214,56,136,51,156,542662882.4936812,182051445.53501996,182051445.53501996,1.0,1000000000.0,1000000000.0,-80,True,2026-09-11,0,False
DEEP,DeepBook Protocol,2025-02-02,2026-09-11,170,116,196,96,199,192834951.20052302,85772206.9824391,149294093.06100073,0.574518423494445,10000000000.0,5745184234.94445,-80,True,2026-09-11,0,False
GRASS,Grass,2024-12-15,2026-09-11,137,120,199,97,200,179071989.95082033,84887357.7945462,84887357.7945462,1.0,,243905091.0,-79,False,2026-09-11,0,False
ROSE,Oasis,2024-06-02,2026-03-29,68,120,199,96,200,386536217.803079,77469688.72096282,102592900.00000001,0.7551174469282261,10000000000.0,7551171497.0,-79,True,2026-03-29,166,True
OP,Optimism,2024-06-02,2026-09-11,214,45,123,40,132,758327802.3893588,218720305.6237635,408499894.4774415,0.5354231630917639,4294967296.0,2299624975.0,-78,True,2026-09-11,0,False
BLUR,Blur,2024-06-02,2025-08-03,61,119,196,119,199,368025493.43702644,202856642.46829063,202856642.46829063,1.0,,2451960604.785008,-77,False,2025-08-03,404,True
MINA,Mina,2024-06-02,2026-09-11,87,91,166,91,200,405338495.6170053,119016740.9803852,119016740.9803852,1.0,,1287249412.8400393,-75,False,2026-09-11,0,False
