symbol,name,bear_delta,best_rank,end_rank,start_rank,snapshots,gap_to_best
KITE,Kite,90,77,110,197,63,33
SKYAI,SKYAI,69,86,127,168,42,41
B,BUILDon,56,92,114,126,79,22
AKT,Akash Network,51,72,129,82,133,57
DASH,Dash,50,64,86,196,139,22
GNO,Gnosis,42,83,103,99,139,20
DCR,Decred,39,79,126,196,109,47
GRASS,Grass,28,97,158,120,72,61
STG,Stargate Finance,24,85,164,192,51,79
MON,Monad,21,90,116,137,61,26
AXS,Axie Infinity,20,73,139,78,139,66
ZRO,LayerZero,19,69,104,95,136,35
GLM,Golem,16,132,174,147,139,42
BAT,Basic Attention Token,15,109,157,188,137,48
BTT,BitTorrent [New],14,68,107,80,139,39
SFP,SafePal,13,129,170,184,136,41
VIRTUAL,Virtuals Protocol,10,37,95,81,112,58
BEAT,Audiera,10,34,64,77,47,30
COW,CoW Protocol,10,166,187,198,36,21
KMNO,Kamino Finance,9,150,181,188,43,31
HOME,Defi App,8,132,192,200,35,60
BANANAS31,Banana For Scale,8,165,191,193,36,26
BSV,Bitcoin SV,5,66,109,74,139,43
PI,Pi,5,11,45,11,99,34
RIF,Rootstock Infrastructure Framework,5,168,194,199,13,26
CHZ,Chiliz,4,73,134,73,139,61
ZRX,0x Protocol,4,158,195,160,79,37
JUP,Jupiter,4,45,66,66,139,21
VELO,Velo,3,168,197,168,13,29
TRAC,OriginTrail,3,129,149,197,122,20
XCN,Onyxcoin,2,85,145,188,106,60
WEMIX,WEMIX,1,111,168,150,129,57
GT,GateToken,1,32,68,107,139,36
M,MemeCore,1,19,54,76,81,35
KAITO,KAITO,1,116,146,145,92,30
