symbol,name,first_date,last_date,snapshots,start_rank,end_rank,best_rank,worst_rank,avg_mcap_usd,current_mcap_usd,current_fdv_usd,current_mc_fdv,max_supply,circulating_supply,rank_delta,is_capped,actual_last_seen,days_since_last_seen,is_stale,rank_range
BTC,Bitcoin,2024-06-02,2026-05-30,110,1,1,1,1,1724687686622.0713,1474548848247.7239,1545468406385.9678,0.9541112857142857,21000000.0,20036337.0,0,True,2026-05-30,0,False,0
ETH,Ethereum,2024-06-02,2026-05-30,110,2,2,2,2,345676161132.2576,243510680265.38577,243510680265.38577,1.0,,120685284.00701381,0,False,2026-05-30,0,False,0
BNB,BNB,2024-06-02,2026-05-30,110,4,4,3,6,98308221807.69827,88353253315.02118,88353253315.02118,1.0,134784650.13,134784650.13,0,True,2026-05-30,0,False,3
SOL,Solana,2024-06-02,2026-05-30,110,5,7,4,7,77897180084.017,47928396288.365746,47928396288.365746,1.0,,578452611.572631,-2,False,2026-05-30,0,False,3
DOGE,Dogecoin,2024-06-02,2026-05-30,110,8,10,6,10,26880625347.232857,15624138827.47155,15624138827.47155,1.0,,154446216383.70523,-2,False,2026-05-30,0,False,4
LINK,Chainlink,2024-06-02,2026-05-30,110,13,16,11,16,9644859824.413618,6682700193.243903,9190895977.251572,0.7270999704255477,1000000000.0,727099970.4255477,-3,True,2026-05-30,0,False,5
XRP,XRP,2024-06-02,2026-05-30,110,7,5,3,8,105843538125.83185,84127157146.20392,135737471098.32442,0.61977843307,100000000000.0,61977843307.0,2,True,2026-05-30,0,False,5
ADA,Cardano,2024-06-02,2026-05-30,110,10,14,8,14,19576313610.702168,8606441351.647097,10692064039.469015,0.8049373179843493,45000000000.0,36222179309.29572,-4,True,2026-05-30,0,False,6
TRX,TRON,2024-06-02,2026-05-30,110,15,8,8,15,23982422683.38431,32647943349.69037,32647943349.69037,1.0,,94813013035.0205,7,False,2026-05-30,0,False,7
LTC,Litecoin,2024-06-02,2026-05-30,110,19,24,15,25,6314725078.466799,4044098819.074692,4398942131.586837,0.9193343986127542,84000000.0,77224089.48347135,-5,True,2026-05-30,0,False,10
LEO,UNUS SED LEO,2024-06-02,2026-05-30,110,23,11,11,24,7914213916.850877,9259146385.004122,9259146385.004122,1.0,,920520341.9,12,False,2026-05-30,0,False,13
BCH,Bitcoin Cash,2024-06-02,2026-05-30,110,16,17,10,24,8847306476.94353,6110310325.668957,6402669356.841183,0.9543379464285715,21000000.0,20041096.875,-1,True,2026-05-30,0,False,14
AVAX,Avalanche,2024-06-02,2026-05-30,110,12,25,10,26,8952890492.350399,3871932754.0131183,6418505965.934171,0.6032451748994494,715748719.0,431771961.1772119,-13,True,2026-05-30,0,False,16
HYPE,Hyperliquid,2024-12-22,2026-05-30,81,22,9,9,28,10774404064.81114,16675629170.25555,63172057803.09836,0.2639715999474323,961671487.86,253853961.27423197,13,True,2026-05-30,0,False,19
SHIB,Shiba Inu,2024-06-02,2026-05-30,110,11,28,10,30,7700254586.187688,3251816375.3408427,3253524105.268525,0.9994751137927895,589552695333683.0,589243247255478.6,-17,True,2026-05-30,0,False,20
OKB,OKB,2024-06-02,2026-05-30,110,40,40,29,50,2639798614.14691,1827020619.6133068,1827020619.6133068,1.0,21000000.0,21000000.0,0,True,2026-05-30,0,False,21
UNI,Uniswap,2024-06-02,2026-05-30,110,21,38,17,38,4429627922.780956,1951943035.243447,1951943035.243447,1.0,1000000000.0,635517562.7428479,-17,True,2026-05-30,0,False,21
TON,Toncoin,2024-06-02,2026-05-30,110,9,20,8,31,8972988467.897396,4761891129.305541,4761891129.305541,1.0,,2702669486.211384,-11,False,2026-05-30,0,False,23
DOT,Polkadot,2024-06-02,2026-05-30,110,14,37,14,39,5996617650.05337,2041971313.1070068,2543228354.6915183,0.8029052166472438,2100000000.0,1686100954.959212,-23,True,2026-05-30,0,False,25
ETC,Ethereum Classic,2024-06-02,2026-05-30,110,25,51,25,51,2647576848.970372,1307643507.9148998,1756049647.5033162,0.7446506479893988,210700000.0,156897891.53136635,-26,True,2026-05-30,0,False,26
XLM,Stellar,2024-06-02,2026-05-30,110,36,12,12,38,7569928909.79175,9135035466.801071,13590506785.852224,0.6721629745485784,50001806812.0,33609363199.557293,24,True,2026-05-30,0,False,26
TAO,Bittensor,2024-06-02,2026-05-30,110,44,32,22,49,3053496066.980089,2775537672.0383706,5318147439.527342,0.5218993462665358,21000000.0,10959886.27159725,12,True,2026-05-30,0,False,27
MNT,Mantle,2024-06-02,2026-05-30,110,35,35,21,48,2924838173.1475363,2143685428.5116112,4037271437.471642,0.5309738177659175,6219316795.0,3302294382.53684,0,True,2026-05-30,0,False,27
CRO,Cronos,2024-06-02,2026-05-30,110,37,30,18,45,3453723675.036705,3061717632.5095463,6833345556.300167,0.4480554374550431,100000000000.0,44805543745.50431,7,True,2026-05-30,0,False,27
ICP,Internet Computer,2024-06-02,2026-05-30,110,22,47,22,52,2905404893.5033426,1493647645.0917292,1493647645.0917292,1.0,,553021525.3690687,-25,False,2026-05-30,0,False,30
NEAR,NEAR Protocol,2024-06-02,2026-05-30,110,17,29,17,48,3790363358.463758,3092420639.377118,3092420639.377118,1.0,,1296829270.0,-12,False,2026-05-30,0,False,31
